File_name;Red_mass;CM_energy;Rel_speed;Tot_sigma
dcsH1He0el_1000log10e_-1500.dat;7.4962491838E+8;3.1622776602E-2;2.7536814151E+5;6.6048652224E+2
dcsH1He0el_1000log10e_-1510.dat;7.4962491838E+8;3.0902954325E-2;2.7221602846E+5;6.6865777730E+2
dcsH1He0el_1000log10e_-1520.dat;7.4962491838E+8;3.0199517204E-2;2.6909999735E+5;6.7916037172E+2
dcsH1He0el_1000log10e_-1530.dat;7.4962491838E+8;2.9512092267E-2;2.6601963515E+5;6.9215321596E+2
dcsH1He0el_1000log10e_-1540.dat;7.4962491838E+8;2.8840315031E-2;2.6297453357E+5;7.0766235472E+2
dcsH1He0el_1000log10e_-1550.dat;7.4962491838E+8;2.8183829313E-2;2.5996428897E+5;7.2551829553E+2
dcsH1He0el_1000log10e_-1560.dat;7.4962491838E+8;2.7542287033E-2;2.5698850236E+5;7.4524242624E+2
dcsH1He0el_1000log10e_-1570.dat;7.4962491838E+8;2.6915348039E-2;2.5404677930E+5;7.6582526443E+2
dcsH1He0el_1000log10e_-1580.dat;7.4962491838E+8;2.6302679919E-2;2.5113872987E+5;7.8358932639E+2
dcsH1He0el_1000log10e_-1590.dat;7.4962491838E+8;2.5703957828E-2;2.4826396860E+5;7.9517131372E+2
dcsH1He0el_1000log10e_-1600.dat;7.4962491838E+8;2.5118864315E-2;2.4542211445E+5;8.0478865362E+2
dcsH1He0el_1000log10e_-1610.dat;7.4962491838E+8;2.4547089157E-2;2.4261279074E+5;8.1341476208E+2
